counts,exemplars,similarity,layer
12,2,less,first
11,2,mid,first
17,2,most,first
8,2,less,third
13,2,mid,third
19,2,most,third
11,2,less,fifth
7,2,mid,fifth
22,2,most,fifth
13,4,less,first
13,4,mid,first
14,4,most,first
11,4,less,third
16,4,mid,third
13,4,most,third
12,4,less,fifth
17,4,mid,fifth
11,4,most,fifth
16,8,less,first
13,8,mid,first
11,8,most,first
16,8,less,third
12,8,mid,third
12,8,most,third
15,8,less,fifth
16,8,mid,fifth
9,8,most,fifth
12,16,less,first
17,16,mid,first
11,16,most,first
18,16,less,third
13,16,mid,third
9,16,most,third
15,16,less,fifth
14,16,mid,fifth
11,16,most,fifth
