accuracy,exemplars,similarity,layer
89.25648384,2,less,first
90.46048817,2,mid,first
93.48223664,2,most,first
90.55524554,2,less,third
90.08474784,2,mid,third
92.62092172,2,most,third
91.2859462,2,less,fifth
90.10112974,2,mid,fifth
91.8403583,2,most,fifth
88.83070055,4,less,first
90.34107633,4,mid,first
94.15884657,4,most,first
89.62850765,4,less,third
90.40676818,4,mid,third
93.46423666,4,most,third
90.70671237,4,less,fifth
90.47353316,4,mid,fifth
92.81148539,4,most,fifth
87.94642857,8,less,first
91.246198,8,mid,first
93.93335459,8,most,first
89.66637436,8,less,third
91.30327912,8,mid,third
91.3590827,8,most,third
89.70131803,8,less,fifth
91.25229193,8,mid,fifth
91.22821003,8,most,fifth
87.88929634,16,less,first
90.75395783,16,mid,first
93.27313312,16,most,first
90.72243481,16,less,third
90.18409046,16,mid,third
90.899589,16,most,third
90.67602041,16,less,fifth
89.62224399,16,mid,fifth
91.69468924,16,most,fifth
